time,content
1,"大猪蹄子是什么梗？大猪蹄子是什么梗？大猪蹄子是什么"
1,"纵我有一身本领，也护不了你的周全"
1,"去你的大猪蹄子本宫领盒饭去了，你去做你的大猪蹄子皇"
1,"纯妃，你的盒饭到了，请注意查收"
1,"最怕女人死前穿白衣服和红衣服，做鬼可厉害了"
1,"那帮巡逻的侍卫呢，怎么一个都不在"
2,"好气人啊，璎珞一定要报仇啊"
2,"皇后要吃盒饭了"
2,"令妃快回来"
2,"感觉无爱了"
2,"看标题好难过！"
3,"曹思琪我还是喜欢你"
3,"看的朕太心疼了"
3,"不敢看这集"
3,"丸子小鹿你们看到我了吗？？"
3,"诸位久等了"
3,"这集皇后要死了吗"
4,"富察容音这一生都为皇上而活了，下一世希望你为自己活"
4,"我一下不在就出事。还有尔晴不劝你善良了你好去死了"
4,"都好早啧啧啧太早比不起"
4,"只想纯妃快点死"
4,"皇后挺住啊！我舍不得你"
4,"这是第三个孩子了吧"
5,"心眼好的反而死的快，真是天理难容啊"
5,"本宫领盒饭了啦啦啦"
5,"有时候善良不一定是好的"
5,"这个片头真不错"
5,"永琮没能活过一集"
5,"不敢看这集"
6,"璎珞啥时候回来啊"
6,"标题，我劝你善良！"
6,"王昭力看到了吗"
6,"太监们好可怜啊"
7,"佘诗曼演技太好了，一个眼神秒杀一切啊"
7,"舍不得跳片头片尾一直在看"
7,"就不能让皇后好好养个孩子吗？~!!"
7,"不敢看。太虐了"
7,"皇后走了！呜呜呜"
7,"令人悲伤的一集"
8,"以前是因为皇后娘娘才看的，现在是为了樱落报仇看的。"
8,"复明还不是一样？权利在谁眼中都是最重要"
8,"演的太好了，"
8,"谁来掐死纯妃"
8,"纯妃太坏了"
8,"心疼富察皇后"
9,"上集看哭我了，好难受"
9,"小剧场怎么不看啊"
10,"不敢看下去"
10,"标题？你不善良把你烧了🔥！"
10,"不想说什么了"
10,"皇后真是可怜心疼"
11,"不想看到这个标题"
11,"皇后的最后一集，要好好珍惜啊"
11,"纯妃从一开始就很不喜欢她"
11,"晚上之前要破五十亿了"
11,"看的心好沉啊，揪心"
12,"阿斯顿飞饿饿"
12,"天啊！尔康跟紫薇是兄妹！"
13,"自古忠孝不能两全，就是这个意思"
13,"皇后好可怜。😭"
13,"璎珞在绝对不会出事"
13,"太让人心疼了"
13,"纯妃几时领盒饭？"
13,"皇后太惨了"
14,"纯妃真的可以去死"
14,"就一天，为什么皇后连一天都等不到我"
14,"呜呜呜呜我皇后要下线了"
14,"什么破标题😭"
14,"你要害死本宫了"
14,"这标题心痛"
15,"每天都舍不得跳片头好惊艳啊"
15,"妹妹这手法高明"
15,"这男人也是祸水啊，两个女人都疯了"
15,"我劝我自己善良"
15,"坐等纯妃，贤妃，尔晴死的那一天"
15,"绝不能错过的片头"
16,"皇后就这么死了。"
16,"今天我头七，回来看看大家。"
16,"扎心了，标题"
16,"富察皇后走了呜呜呜😭😭😭"
16,"心好痛啊，令妃快回来"
17,"第二遍看这里，虐啊"
17,"片头曲唱尽了深宫女人的凄凉"
17,"没有自保能力自己却不自知真的很难受女人不容易"
17,"皇上跟傻子一样的。是不想查还是真的蠢？"
17,"璎珞回来心都碎了吧"
18,"哎，看着好孽心啊，人善被人欺"
18,"这集要虐了"
18,"要开始哭了"
18,"要哭着看下去了，😭"
18,"看得好伤心"
18,"看的心里窝火！！！"
19,"璎珞在绝对不会出事"
19,"为什么我黑屏啊"
19,"好像每个人都黑化了，人心下一秒就能恶毒至此？"
20,"这个标题看起开就不一般……"
20,"看标题想哭"
20,"再来看一次容音"
20,"纯妃你还我七阿哥，还我皇后娘娘😭"
20,"夏亮我宣你"
21,"几句哭声由远及近回一句，丧钟又有何意义"
22,"自从乾隆后，大清就开始走向低谷了一发不可收拾"
22,"姐姐我高可爱来接你了"
24,"这局就等着哭"
